UserID,AvgScore,AvgRating,AvgCatMatch,AvgLvlMatch,AvgPop
U0900,0.905241935483871,4.319999999999999,1.0,1.0,0.8258064516129032
U0437,0.9,4.38,1.0,1.0,0.7958333333333334
U0071,0.8875,4.540000000000001,1.0,1.0,0.7208333333333334
U1667,0.915,4.62,1.0,1.0,0.7958333333333334
U0970,0.9124193548387097,4.28,1.0,1.0,0.8580645161290323
U0515,0.9024999999999999,4.6,1.0,1.0,0.7583333333333333
U1085,0.8525,4.24,1.0,1.0,0.6666666666666667
U1993,0.75,4.52,0.6,1.0,0.6
U0342,0.9024999999999999,4.6,1.0,1.0,0.7583333333333333
U0243,0.8369758064516128,4.58,1.0,0.8,0.6774193548387097
U0925,0.835,4.34,1.0,1.0,0.5875
U0685,0.83375,4.42,1.0,1.0,0.5666666666666667
U1666,0.8369758064516128,4.58,1.0,0.8,0.6774193548387097
U0823,0.915,4.62,1.0,1.0,0.7958333333333334
U1760,0.915,4.62,1.0,1.0,0.7958333333333334
U0864,0.915,4.62,1.0,1.0,0.7958333333333334
U0902,0.845,4.359999999999999,1.0,1.0,0.6166666666666667
U0914,0.8868951612903226,4.459999999999999,1.0,1.0,0.7354838709677418
U0715,0.92125,4.7,1.0,1.0,0.8
U0707,0.8950000000000001,4.4,1.0,1.0,0.775
U1237,0.8814516129032258,4.279999999999999,1.0,1.0,0.7548387096774194
U0764,0.9025000000000001,4.659999999999999,1.0,1.0,0.7458333333333333
U1886,0.915,4.62,1.0,1.0,0.7958333333333334
U0708,0.8225,4.4,1.0,1.0,0.5333333333333334
U0497,0.9024999999999999,4.6,1.0,1.0,0.7583333333333333
U1704,0.8375,4.380000000000001,1.0,1.0,0.5875
U0590,0.915,4.62,1.0,1.0,0.7958333333333334
U1077,0.9025000000000001,4.659999999999999,1.0,1.0,0.7458333333333333
U1992,0.9151612903225805,4.2,1.0,1.0,0.8838709677419356
U1991,0.9092338709677419,4.26,1.0,1.0,0.8516129032258064
U0885,0.8938306451612904,4.540000000000001,1.0,1.0,0.7419354838709677
U0169,0.9151612903225805,4.2,1.0,1.0,0.8838709677419356
U0734,0.8725403225806451,4.54,1.0,1.0,0.6709677419354838
U1465,0.8275403225806451,4.14,1.0,0.9,0.6709677419354838
U1919,0.9025000000000001,4.42,1.0,1.0,0.7958333333333333
U0123,0.8725403225806451,4.54,1.0,1.0,0.6709677419354838
U1803,0.845,4.359999999999999,1.0,1.0,0.6166666666666667
U1191,0.865,4.6,1.0,1.0,0.6333333333333334
U0119,0.915,4.62,1.0,1.0,0.7958333333333334
U1986,0.91525,4.38,1.0,1.0,0.8466666666666667
U0072,0.9151612903225805,4.2,1.0,1.0,0.8838709677419356
U1833,0.9151612903225805,4.2,1.0,1.0,0.8838709677419356
U1429,0.8537500000000001,4.619999999999999,1.0,1.0,0.5916666666666667
